1	23	51	45	15	47	59	39	11	19	56	43	12	5	34	37	28	16	18	25	9	32	46	35	10	20	50	57	30	6	22	31	42	40	33	53	49	29	14	27	41	58	36	2	7	13	44	52	24	3	4	26	60	54	21	48	17	8	38	55	24	3	13	44	52	7	41	58	36	2	38	55	48	17	8	60	54	21	4	26	46	35	10	9	32	18	25	37	28	16	5	34	56	43	12	14	27	53	49	29	42	40	33	22	31	50	57	30	6	20	23	51	45	15	1	11	19	47	59	39
2	7	41	58	36	27	53	49	29	14	55	48	17	8	38	52	24	3	13	44	16	18	25	37	28	5	34	56	43	12	11	19	47	59	39	40	33	22	31	42	60	54	21	4	26	32	46	35	10	9	1	23	51	45	15	30	6	20	50	57	12	5	34	56	43	19	47	59	39	11	53	49	29	14	27	58	36	2	7	41	28	16	18	25	37	1	23	51	45	15	6	20	50	57	30	33	22	31	42	40	55	48	17	8	38	44	52	24	3	13	9	32	46	35	10	21	4	26	60	54
3	13	44	52	24	38	55	48	17	8	60	54	21	4	26	46	35	10	9	32	18	25	37	28	16	7	41	58	36	2	14	27	53	49	29	42	40	33	22	31	50	57	30	6	20	23	51	45	15	1	5	34	56	43	12	39	11	19	47	59	15	1	23	51	45	20	50	57	30	6	47	59	39	11	19	56	43	12	5	34	37	28	16	18	25	9	32	46	35	10	4	26	60	54	21	22	31	42	40	33	53	49	29	14	27	41	58	36	2	7	13	44	52	24	3	17	8	38	55	48
4	26	60	54	21	42	40	33	22	31	57	30	6	20	50	35	10	9	32	46	3	13	44	52	24	8	38	55	48	17	29	14	27	53	49	59	39	11	19	47	51	45	15	1	23	18	25	37	28	16	2	7	41	58	36	43	12	5	34	56	30	6	20	50	57	4	26	60	54	21	31	42	40	33	22	59	39	11	19	47	45	15	1	23	51	10	9	32	46	35	3	13	44	52	24	17	8	38	55	48	49	29	14	27	53	56	43	12	5	34	25	37	28	16	18	2	7	41	58	36
5	34	56	43	12	53	49	29	14	27	58	36	2	7	41	28	16	18	25	37	1	23	51	45	15	19	47	59	39	11	33	22	31	42	40	55	48	17	8	38	44	52	24	3	13	9	32	46	35	10	6	20	50	57	30	54	21	4	26	60	36	2	7	41	58	5	34	56	43	12	27	53	49	29	14	55	48	17	8	38	52	24	3	13	44	16	18	25	37	28	1	23	51	45	15	11	19	47	59	39	40	33	22	31	42	60	54	21	4	26	32	46	35	10	9	6	20	50	57	30
6	20	50	57	30	31	42	40	33	22	59	39	11	19	47	45	15	1	23	51	10	9	32	46	35	4	26	60	54	21	17	8	38	55	48	49	29	14	27	53	56	43	12	5	34	25	37	28	16	18	3	13	44	52	24	36	2	7	41	58	21	4	26	60	54	8	38	55	48	17	42	40	33	22	31	57	30	6	20	50	35	10	9	32	46	3	13	44	52	24	2	7	41	58	36	29	14	27	53	49	59	39	11	19	47	51	45	15	1	23	18	25	37	28	16	12	5	34	56	43
7	41	58	36	2	55	48	17	8	38	52	24	3	13	44	16	18	25	37	28	5	34	56	43	12	27	53	49	29	14	40	33	22	31	42	60	54	21	4	26	32	46	35	10	9	1	23	51	45	15	11	19	47	59	39	57	30	6	20	50	43	12	5	34	56	1	23	51	45	15	19	47	59	39	11	53	49	29	14	27	58	36	2	7	41	28	16	18	25	37	9	32	46	35	10	6	20	50	57	30	33	22	31	42	40	55	48	17	8	38	44	52	24	3	13	4	26	60	54	21
8	38	55	48	17	40	33	22	31	42	54	21	4	26	60	24	3	13	44	52	2	7	41	58	36	14	27	53	49	29	39	11	19	47	59	57	30	6	20	50	46	35	10	9	32	16	18	25	37	28	12	5	34	56	43	45	15	1	23	51	39	11	19	47	59	6	20	50	57	30	22	31	42	40	33	49	29	14	27	53	43	12	5	34	56	15	1	23	51	45	10	9	32	46	35	21	4	26	60	54	48	17	8	38	55	58	36	2	7	41	37	28	16	18	25	3	13	44	52	24
9	32	46	35	10	50	57	30	6	20	51	45	15	1	23	25	37	28	16	18	13	44	52	24	3	26	60	54	21	4	31	42	40	33	22	47	59	39	11	19	34	56	43	12	5	7	41	58	36	2	8	38	55	48	17	49	29	14	27	53	35	10	9	32	46	13	44	52	24	3	26	60	54	21	4	50	57	30	6	20	51	45	15	1	23	25	37	28	16	18	7	41	58	36	2	8	38	55	48	17	31	42	40	33	22	47	59	39	11	19	34	56	43	12	5	14	27	53	49	29
10	9	32	46	35	26	60	54	21	4	50	57	30	6	20	51	45	15	1	23	25	37	28	16	18	13	44	52	24	3	8	38	55	48	17	31	42	40	33	22	47	59	39	11	19	34	56	43	12	5	7	41	58	36	2	29	14	27	53	49	10	9	32	46	35	26	60	54	21	4	50	57	30	6	20	51	45	15	1	23	25	37	28	16	18	13	44	52	24	3	8	38	55	48	17	31	42	40	33	22	47	59	39	11	19	34	56	43	12	5	7	41	58	36	2	29	14	27	53	49
11	19	47	59	39	22	31	42	40	33	49	29	14	27	53	43	12	5	34	56	15	1	23	51	45	6	20	50	57	30	21	4	26	60	54	48	17	8	38	55	58	36	2	7	41	37	28	16	18	25	10	9	32	46	35	24	3	13	44	52	17	8	38	55	48	14	27	53	49	29	40	33	22	31	42	54	21	4	26	60	24	3	13	44	52	2	7	41	58	36	12	5	34	56	43	39	11	19	47	59	57	30	6	20	50	46	35	10	9	32	16	18	25	37	28	15	1	23	51	45
12	5	34	56	43	19	47	59	39	11	53	49	29	14	27	58	36	2	7	41	28	16	18	25	37	1	23	51	45	15	6	20	50	57	30	33	22	31	42	40	55	48	17	8	38	44	52	24	3	13	9	32	46	35	10	21	4	26	60	54	2	7	41	58	36	27	53	49	29	14	55	48	17	8	38	52	24	3	13	44	16	18	25	37	28	5	34	56	43	12	11	19	47	59	39	40	33	22	31	42	60	54	21	4	26	32	46	35	10	9	1	23	51	45	15	30	6	20	50	57
13	44	52	24	3	60	54	21	4	26	46	35	10	9	32	18	25	37	28	16	7	41	58	36	2	38	55	48	17	8	42	40	33	22	31	50	57	30	6	20	23	51	45	15	1	5	34	56	43	12	14	27	53	49	29	59	39	11	19	47	45	15	1	23	51	9	32	46	35	10	20	50	57	30	6	47	59	39	11	19	56	43	12	5	34	37	28	16	18	25	13	44	52	24	3	4	26	60	54	21	22	31	42	40	33	53	49	29	14	27	41	58	36	2	7	8	38	55	48	17
14	27	53	49	29	33	22	31	42	40	48	17	8	38	55	36	2	7	41	58	12	5	34	56	43	11	19	47	59	39	30	6	20	50	57	54	21	4	26	60	52	24	3	13	44	28	16	18	25	37	15	1	23	51	45	35	10	9	32	46	29	14	27	53	49	11	19	47	59	39	33	22	31	42	40	48	17	8	38	55	36	2	7	41	58	12	5	34	56	43	15	1	23	51	45	30	6	20	50	57	54	21	4	26	60	52	24	3	13	44	28	16	18	25	37	10	9	32	46	35
15	1	23	51	45	20	50	57	30	6	47	59	39	11	19	56	43	12	5	34	37	28	16	18	25	9	32	46	35	10	4	26	60	54	21	22	31	42	40	33	53	49	29	14	27	41	58	36	2	7	13	44	52	24	3	17	8	38	55	48	3	13	44	52	24	38	55	48	17	8	60	54	21	4	26	46	35	10	9	32	18	25	37	28	16	7	41	58	36	2	14	27	53	49	29	42	40	33	22	31	50	57	30	6	20	23	51	45	15	1	5	34	56	43	12	39	11	19	47	59
16	18	25	37	28	34	56	43	12	5	41	58	36	2	7	44	52	24	3	13	32	46	35	10	9	23	51	45	15	1	19	47	59	39	11	27	53	49	29	14	38	55	48	17	8	26	60	54	21	4	20	50	57	30	6	33	22	31	42	40	16	18	25	37	28	34	56	43	12	5	41	58	36	2	7	44	52	24	3	13	32	46	35	10	9	23	51	45	15	1	19	47	59	39	11	27	53	49	29	14	38	55	48	17	8	26	60	54	21	4	20	50	57	30	6	33	22	31	42	40
17	8	38	55	48	14	27	53	49	29	40	33	22	31	42	54	21	4	26	60	24	3	13	44	52	2	7	41	58	36	12	5	34	56	43	39	11	19	47	59	57	30	6	20	50	46	35	10	9	32	16	18	25	37	28	15	1	23	51	45	11	19	47	59	39	22	31	42	40	33	49	29	14	27	53	43	12	5	34	56	15	1	23	51	45	6	20	50	57	30	21	4	26	60	54	48	17	8	38	55	58	36	2	7	41	37	28	16	18	25	10	9	32	46	35	24	3	13	44	52
18	25	37	28	16	41	58	36	2	7	44	52	24	3	13	32	46	35	10	9	23	51	45	15	1	34	56	43	12	5	27	53	49	29	14	38	55	48	17	8	26	60	54	21	4	20	50	57	30	6	19	47	59	39	11	40	33	22	31	42	28	16	18	25	37	23	51	45	15	1	34	56	43	12	5	41	58	36	2	7	44	52	24	3	13	32	46	35	10	9	20	50	57	30	6	19	47	59	39	11	27	53	49	29	14	38	55	48	17	8	26	60	54	21	4	22	31	42	40	33
19	47	59	39	11	49	29	14	27	53	43	12	5	34	56	15	1	23	51	45	6	20	50	57	30	22	31	42	40	33	48	17	8	38	55	58	36	2	7	41	37	28	16	18	25	10	9	32	46	35	21	4	26	60	54	52	24	3	13	44	48	17	8	38	55	2	7	41	58	36	14	27	53	49	29	40	33	22	31	42	54	21	4	26	60	24	3	13	44	52	16	18	25	37	28	12	5	34	56	43	39	11	19	47	59	57	30	6	20	50	46	35	10	9	32	1	23	51	45	15
